CountryCode	site	years	lat	long	alt	month	O18	H2	DExcess	wO18	wH2	wDExcess	precip	vp	temp
SE	ABISKO	1975-1980	68.21	18.49	392	1	-13.48								
SE	ABISKO	1975-1980	68.21	18.49	392	2	-14.88								
SE	ABISKO	1975-1980	68.21	18.49	392	3									
SE	ABISKO	1975-1980	68.21	18.49	392	4	-12.87								
SE	ABISKO	1975-1980	68.21	18.49	392	5	-13.6								
SE	ABISKO	1975-1980	68.21	18.49	392	6	-10.44								
SE	ABISKO	1975-1980	68.21	18.49	392	7	-10.98								
SE	ABISKO	1975-1980	68.21	18.49	392	8	-11.08								
SE	ABISKO	1975-1980	68.21	18.49	392	9	-14.14								
SE	ABISKO	1975-1980	68.21	18.49	392	10	-14.92								
SE	ABISKO	1975-1980	68.21	18.49	392	11	-14.29								
SE	ABISKO	1975-1980	68.21	18.49	392	12	-17.07								
US	ADAK (ALASKA)	1962-1973	51.88	-176.65	4	1	-9.16	-57.9	13.1	-9.32	-57.3	13.8	131.9	5	1.1
US	ADAK (ALASKA)	1962-1973	51.88	-176.65	4	2	-7.86	-56.7	6.2	-7.82	-55.6	6.9	105.6	4.7	0.1
US	ADAK (ALASKA)	1962-1973	51.88	-176.65	4	3	-8.58	-62.2	5.6	-8	-57.7	4	133.6	5.4	1.8
US	ADAK (ALASKA)	1962-1973	51.88	-176.65	4	4	-8.3	-64.8	1.9	-8.48	-67.2	0.4	126.5	6.2	3.2
US	ADAK (ALASKA)	1962-1973	51.88	-176.65	4	5	-9.43	-64.3	5.9	-8.47	-61.6	5	67.5	7.2	5.1
US	ADAK (ALASKA)	1962-1973	51.88	-176.65	4	6	-8.23	-63.8	3.7	-8.22	-63.6	3	63.4	8.7	7.4
US	ADAK (ALASKA)	1962-1973	51.88	-176.65	4	7	-8.92	-64.3	7	-8.9	-65.1	6.1	71.9	11	9.8
US	ADAK (ALASKA)	1962-1973	51.88	-176.65	4	8	-8.16	-63.3	2.5	-8.29	-64.3	2.1	96.6	10.7	10.7
US	ADAK (ALASKA)	1962-1973	51.88	-176.65	4	9	-9.03	-69	6.3	-9.55	-72.5	7	136.2	9.6	8.7
